time,step,symbol,position,symbolPnl,totalPnl
1789849556515,trade,AAPL,100.0,0.0,0.0
1789849556548,trade,MSFT,200.0,0.0,0.0
1789849556577,price,AAPL,100.0,150.0,150.0
1789849556608,trade,NVDA,-30.0,0.0,150.0
1789849556638,trade,AAPL,150.0,125.0,125.0
1789849556668,price,MSFT,200.0,600.0,725.0
1789849556693,trade,MSFT,150.0,700.0,825.0
1789849556724,price,NVDA,-30.0,-150.0,675.0
1789849556752,trade,NVDA,-50.0,-50.0,775.0
1789849556782,trade,AAPL,70.0,405.0,1055.0
1789849556811,price,AAPL,70.0,580.0,1230.0
1789849556839,trade,AAPL,-50.0,460.0,1110.0
1789849556869,price,NVDA,-50.0,950.0,2110.0
1789849556896,trade,NVDA,-40.0,1000.0,2160.0
1789849556923,trade,MSFT,100.0,650.0,2110.0
1789849556950,price,AAPL,-50.0,635.0,2285.0
1789849556980,trade,AAPL,0.0,610.0,2260.0
1789849557006,price,MSFT,100.0,950.0,2560.0
1789849557037,price,NVDA,-40.0,1600.0,3160.0
