control	verdict	named failure	baseline green	restored green	source identical	classes identical
follow-hold	caught	StatusExplanationSurvivesFrameTest#anExplanationSurvivesAnIdleFollowTick	True	True	True	True
report-link-opens-closed	caught	StatusExplanationSurvivesFrameTest#aReportLinkToAClosedChartOpensIt	True	True	True	True
dialog-unanswered-row	caught	DuplicateChartRepairTest#anUnansweredRowProducesNoChoiceAtAll	True	True	True	True
repair-tier-guard	caught	DuplicateChartRepairFrameTest#aListThatChangedWhileTheDialogWasOpenIsRefused	True	True	True	True
repair-carry-unsaved	caught	DuplicateChartRepairFrameTest#aChartMadeDuringTheRefusalSurvivesTheRepair	True	True	True	True
repair-unsaved-name-taken	caught	DuplicateChartRepairFrameTest#renamingOntoAnUnsavedChartIsRefusedRatherThanDestroyingIt	True	True	True	True
verb-withheld-only	caught	DuplicateChartRepairFrameTest#theAssistantCanEditAChartItCreatedDuringTheRefusal	True	True	True	True
repair-nothing-chosen	caught	DuplicateChartRepairFrameTest#okWithNothingChosenSaysSo	True	True	True	True
explicit-name	caught	ChartLifecycleReviewFrameTest#closedNamesAreReservedForCreationAndRename	True	True	True	True
closed-definition	caught	ChartLifecycleReviewFrameTest#graphActionOnClosedChartPreservesItsDefinition	True	True	True	True
import-before-view	caught	ChartLifecycleReviewFrameTest#importingOverAnOpenChartKeepsIncomingDefinitionAndOpenState	True	True	True	True
stale-confirmation	caught	ChartLifecycleReviewFrameTest#confirmationCannotDeleteAReplacementTab	True	True	True	True
external-import	caught	GraphProfileMetadataTest#externalPathsKeepStyleAndClosedState	True	True	True	True
duplicate-profile	caught	GraphProfileMetadataTest#duplicateNamesRefuseWithoutChangingProfileOrTarget	True	True	True	True
duplicate-saved	caught	SavedGraphMergeTest#aDuplicateNameInTheProfileIsRefusedInsteadOfDiscarded	True	True	True	True
duplicate-tabs	caught	GraphProfileMetadataTest#mergeRefusesAmbiguousOpenTabsWithoutChoosingAWinner	True	True	True	True
merge-preservation	caught	SavedGraphMergeTest#aChartThatIsNoLongerATabIsKeptAndMarkedClosed	True	True	True	True
reserved-names	caught	ChartNamesCannotCollideTest#aGeneratedNameSkipsOneAClosedChartStillHolds	True	True	True	True
restore-closed	caught	ChartNamesCannotCollideTest#restoreReopensOpenChartsAndLeavesClosedOnesClosed	True	True	True	True
reopen-notifies	caught	ChartNamesCannotCollideTest#reopeningASavedChartAsksToBeSaved	True	True	True	True
report-adapter	caught	ChartLifecycleReviewFrameTest#alternatingReportRowsReachesTheRealReportsPanelByIdentity	True	True	True	True
chart-adapter	caught	ChartLifecycleReviewFrameTest#rowReopenPersistsOpenStateWithoutAnotherEdit	True	True	True	True
rename-modal	caught	ChartLifecycleReviewFrameTest#closedNamesAreReservedForCreationAndRename	True	True	True	True
style-dropdown	caught	StyleDropdownRequestsASaveTest#choosingAStyleFromTheDropdownAsksToBeSaved	True	True	True	True
global-refusal	caught	DuplicateGlobalChartsFrameTest#duplicateGlobalChartsAreWithheldAndLogLoadingCompletes	True	True	True	True
global-preservation	caught	DuplicateGlobalChartsFrameTest#duplicateGlobalChartsAreWithheldAndLogLoadingCompletes	True	True	True	True
row-chart	caught	ProjectPanelChartLifecycleFrameTest#openOnASavedChartRowOpensThatChartInTheFrame	True	True	True	True
row-report	caught	ProjectPanelChartLifecycleFrameTest#openOnEachReportRowRevealsTheReportsTab	True	True	True	True
modal-cancel	caught	ProjectPanelChartLifecycleFrameTest#cancellingDeleteInARealFrameChangesNothing	True	True	True	True
import-ambiguous-target	caught	GraphProfileMetadataTest#mergingIntoDuplicateTargetRefusesBeforeAnyCategoryChanges	True	True	True	True
series-object	caught	GraphSeriesShapeAndStyleEchoTest#anObjectInSeriesIsRefusedAndNothingIsCreated	True	True	True	True
series-null	caught	GraphSeriesShapeAndStyleEchoTest#aNullSeriesEntryIsRefused	True	True	True	True
series-not-a-list	caught	GraphSeriesShapeAndStyleEchoTest#aSeriesThatIsNotAListIsRefused	True	True	True	True
style-echo	caught	GraphSeriesShapeAndStyleEchoTest#theEchoReportsTheStyleTheChartHas	True	True	True	True
saved-graphs-style	caught	GraphSeriesShapeAndStyleEchoTest#savedGraphsShowTheKeyAsSentAndTheStyle	True	True	True	True
saved-graphs-key	caught	GraphSeriesShapeAndStyleEchoTest#savedGraphsShowTheKeyAsSentAndTheStyle	True	True	True	True
menu-layout	caught	MenuLayoutFrameTest#projectSourcesAndAuditHaveTheirOwnActions	True	True	True	True
menu-source-page	caught	MenuLayoutFrameTest#sourceShortcutsOpenTheNamedSettingsPage	True	True	True	True
menu-close-log	caught	MenuLayoutFrameTest#closeLogFromItsMenuPreservesTheProjectAndSavedChart	True	True	True	True
